Topic	Address	Src	Date
جای زغال سنگ در سبد انرژی کشوراصلا خالی نیست/ سیاست متضاد توانیر در توسعه تجدیدپذیر‌ها	/fa/news/56225/جای-زغال-سنگ-در-سبد-انرژی-کشوراصلا-خالی-نیست-سیاست-متضاد-توانیر-در-توسعه-تجدیدپذیر‌ها	/files/fa/news/1402/9/20/144950_766.jpg	1402/09/15
پیگیری پرداخت مطالبات صنعت برق کشور تا پایان سال جاری	/fa/news/56264/پیگیری-پرداخت-مطالبات-صنعت-برق-کشور-تا-پایان-سال-جاری	/files/fa/news/1402/9/20/144933_406.jpg	1402/09/19
اصلاح استاندارد انرژی وسایل برقی تا پایان ۱۴۰۳	/fa/news/56260/اصلاح-استاندارد-انرژی-وسایل-برقی-تا-پایان-۱۴۰۳	/files/fa/news/1402/9/20/144928_228.jpg	1402/09/19
نشست مشترک معاونان مالی و پشتیبانی شرکت‌های توزیع برق	/fa/news/56263/نشست-مشترک-معاونان-مالی-و-پشتیبانی-شرکت‌های-توزیع-برق	/files/fa/news/1402/9/20/144908_785.jpg	1402/09/19
استوری‌های برق نیوز/ دستاوردسازی از ویژگیهای بارز رفقای محرابیان، نیروگاه‌ها مقصر مازوت سوزی نیستند، انتصاب مشاور وزیر نیرو در امور ایثارگران	/fa/news/56251/استوری‌های-برق-نیوز-دستاوردسازی-از-ویژگیهای-بارز-رفقای-محرابیان-نیروگاه‌ها-مقصر-مازوت-سوزی-نیستند-انتصاب-مشاور-وزیر-نیرو-در-امور-ایثارگران	/files/fa/news/1402/9/19/144886_212.png	1402/09/19
استوری‌های برق نیوز/توهم مدیریت بی نقص مهمترین مشکل وزارت نیروی دولت سیزدهم، کارکرد انتخاباتی حرف‌های این روز‌های نمایندگان مجلس، اختلاف فاحش حقوق مزایای نیرو‌های رسمی و شرکتی	/fa/news/56253/استوری‌های-برق-نیوزتوهم-مدیریت-بی-نقص-مهمترین-مشکل-وزارت-نیروی-دولت-سیزدهم-کارکرد-انتخاباتی-حرف‌های-این-روز‌های-نمایندگان-مجلس-اختلاف-فاحش-حقوق-مزایای-نیرو‌های-رسمی-و-شرکتی	/files/fa/news/1402/9/19/144880_629.png	1402/09/19
استوری‌های برق نیوز/سرعت تغییر قوانین ساتبا بیشتر از سرعت احداث تجدیدپذیرها، اشتباه بودن طرح توسعه نیروگاه‌های فرسوده، اختلال فعالیت شرکت تولید برق غرب و تولید شهید مفتح به دلیل نبود سرپرست	/fa/news/56252/استوری‌های-برق-نیوزسرعت-تغییر-قوانین-ساتبا-بیشتر-از-سرعت-احداث-تجدیدپذیرها-اشتباه-بودن-طرح-توسعه-نیروگاه‌های-فرسوده-اختلال-فعالیت-شرکت-تولید-برق-غرب-و-تولید-شهید-مفتح-به-دلیل-نبود-سرپرست	/files/fa/news/1402/9/19/144879_398.png	1402/09/19
افتتاح سیزدهمین کنفرانس هوشمندسازی شبکه‌های برق/ هوشمندسازی شبکه به هوشمندسازی خاموشی‌ها محدود شده	/fa/news/56204/افتتاح-سیزدهمین-کنفرانس-هوشمندسازی-شبکه‌های-برق-هوشمندسازی-شبکه-به-هوشمندسازی-خاموشی‌ها-محدود-شده	/files/fa/news/1402/9/19/144852_840.jpg	1402/09/14
افزایش ظرفیت تجدیدپذیر‌ها جبران‌کننده مصرف سوخت مایع نیروگاه‌ها	/fa/news/56246/افزایش-ظرفیت-تجدیدپذیر‌ها-جبران‌کننده-مصرف-سوخت-مایع-نیروگاه‌ها	/files/fa/news/1402/9/19/144842_725.jpg	1402/09/18
ضرورت تعریف پست سازمانی برای مشاوران زنان و خانواده	/fa/news/56245/ضرورت-تعریف-پست-سازمانی-برای-مشاوران-زنان-و-خانواده	/files/fa/news/1402/9/19/144836_366.jpg	1402/09/18
